,risk1_roi,risk2_roi,risk3_roi,risk4_roi,risk5_roi
2020-01-06,10.148886956075103,26.074360653551153,25.198042490967538,20.61935355242663,37.908910420913315
2020-01-07,10.172781273095083,26.553489390120887,25.9254663693672,21.602063766310437,38.81135007674018
2020-01-08,10.196698640607508,27.380586065021035,27.028739666868873,22.870896429824512,40.267982142718466
2020-01-09,10.220584224273011,28.096626839963164,27.938746700149295,23.841746561558494,41.47546975105348
2020-01-10,10.244395687979164,28.8252847667425,28.882708411479427,24.94841889088201,42.94240308660798
2020-01-11,10.26834308633643,29.555623735996335,29.830476259941747,26.063036418559676,44.33430203936268
2020-01-12,10.292206944837986,30.103148235488277,30.537675165575195,26.897496493802578,45.373602666499465
2020-01-13,10.315984932240951,30.776621249123735,31.419260206511325,27.937274174227213,46.68469153934373
2020-01-14,10.339638812421441,31.060074523647557,31.695660788703833,28.119183912451405,47.08681342664795
2020-01-15,10.36319252637739,31.695288540985928,32.79216731895471,29.50685258338646,48.49320182046307
2020-01-16,10.38667369395543,32.42839097634075,34.04256494769686,31.313865644570342,50.285523606105414
2020-01-17,10.410158527142556,33.231306174982535,35.35769240359588,33.050625450258224,51.94464449273693
2020-01-18,10.433444841387555,33.91674617470301,36.560702825159694,34.84833350879043,53.8676790335918
2020-01-19,10.456724293019107,34.747141105922935,38.01042654008455,36.90587268645683,56.06368375548087
2020-01-20,10.480020221641098,35.24896057036142,38.914522638243994,38.22220105303978,57.48805494674417
2020-01-21,10.503403123008226,35.76148686832471,39.86574504136351,39.65277210602292,59.16880590743921
2020-01-22,10.52689122954206,35.75320294273925,39.91256165110465,40.093294755449506,59.74058374509096
2020-01-23,10.550479209729929,35.68251277854756,39.86388229889684,40.22988862573021,59.976050469214385
2020-01-24,10.574132044700718,35.495019784660826,39.64309750523972,40.151545256020256,59.820126395455276
2020-01-25,10.597837192951772,35.151595461308546,39.1270151901129,39.57693005414356,59.104158678311535
2020-01-26,10.621643609433761,34.71832387549847,38.43097872603337,38.78062383855064,58.08885885435896
2020-01-27,10.645544109064701,34.683464065477835,38.40949810739079,38.848285693371594,58.05033561893541
2020-01-28,10.669537592123405,34.890843917062455,38.669302841019515,39.25402876783906,58.28792028801473
2020-01-29,10.69359293326329,35.35111957723683,39.24577274392243,39.97432903484963,58.89201330496968
2020-01-30,10.71772215504896,35.81902022421093,39.829758918527205,40.760030598019256,59.61563312197481
2020-01-31,10.74193564785594,36.70385110886514,41.13996437020427,42.58549003623767,61.513186670674855
2020-02-01,10.766267451983055,37.40363560222124,42.16084363935627,43.976915204656564,62.905340902659475
2020-02-02,10.790707468838434,38.22254563748507,43.40890487698789,45.6933484349461,64.61934805111213
2020-02-03,10.8152966990952,38.84761518548018,44.42305161760572,47.18447207144368,66.06097359138039
2020-02-04,10.839964300636012,39.26281262855335,45.20326931500725,48.42152841183821,67.1544391914571
2020-02-05,10.864684809127226,39.274437055932964,45.447675092150575,48.94598071324367,67.58332473020869
2020-02-06,10.889485695775917,39.6700950794671,46.37479815350082,50.329010307634945,68.7993882414417
2020-02-07,10.914491922552358,39.99875534381454,47.188214902255595,51.616015305337754,69.92298504905247
2020-02-08,10.93953262283901,40.575144295986064,48.52299519387867,53.683891591770674,72.18293959706239
2020-02-09,10.96471885871614,41.14537359016981,49.77097062039462,55.54798170702645,74.62607467864973
2020-02-10,10.98988602962703,41.88712304398399,51.18710908621563,57.75225955656788,77.33809430620727
2020-02-11,11.015080015152122,42.44964868510368,52.31873540254142,59.71831022030568,79.81725739842506
